tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
0006,037,EURIPIDES Trag.,Heraclidae,"Heraclidae, ed. Diggle, op. cit., vol. 1, 159– 197. Cod: 6,412: Trag. Dup. 0006 004.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,038,EURIPIDES Trag.,Hippolytus,"Hippolytus, ed. Diggle, op. cit., vol. 1, 207– 271. Cod: 8,443: Trag. Dup. 0006 005.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,039,EURIPIDES Trag.,Andromacha,"Andromacha, ed. Diggle, op. cit., vol. 1, 277– 332. Cod: 7,579: Trag. Dup. 0006 006.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,040,EURIPIDES Trag.,Hecuba,"Hecuba, ed. Diggle, op. cit., vol. 1, 339–398. Cod: 7,531: Trag. Dup. 0006 007.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,041,EURIPIDES Trag.,Supplices,"Supplices, ed. Diggle, op. cit., vol. 2 (1981) 3–53. Cod: 7,314: Trag. Dup. 0006 008.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,042,EURIPIDES Trag.,Electra,"Electra, ed. Diggle, op. cit., vol. 2, 59–113. Cod: 8,037: Trag. Dup. 0006 012.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,043,EURIPIDES Trag.,Hercules,"Hercules, ed. Diggle, op. cit., vol. 2, 117–174. Cod: 8,172: Trag. Dup. 0006 009.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,044,EURIPIDES Trag.,Troiades,"Troiades, ed. Diggle, op. cit., vol. 2, 181–240. Cod: 7,405: Trag. Dup. 0006 011. EURIPIDES",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,045,EURIPIDES Trag.,Iphigenia Taurica,"Iphigenia Taurica, ed. Diggle, op. cit., vol. 2, 243–304. Cod: 8,780: Trag. Dup. 0006 013.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,046,EURIPIDES Trag.,Ion,"Ion, ed. Diggle, op. cit., vol. 2, 307–373. Cod: 9,783: Trag. Dup. 0006 010.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,047,EURIPIDES Trag.,Helena,"Helena, ed. Diggle, op. cit., vol. 3 (1994) 5–70. Cod: 10,407: Trag. Dup. 0006 014.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
0006,048,EURIPIDES Trag.,Phoenissae,"Phoenissae, ed. Diggle, op. cit., vol. 3, 83– 179. Cod: 10,288: Trag. Dup. 0006 015.",base-3; exact-title/edition web lookup,No exact reusable Greek text or rights-cleared scan verified.,,,,,,medium,EDITION_IDENTIFIED,continue item-level open-text and historical-scan search,Explicit follow-up; no third-party OCR used.,2026-08-11
