priority,scan_identifier,works_covered,tlg_notices,title,creator,year,rights,license_url,jp2_archive_present,jp2_filename,jp2_bytes,jp2_sha1,ppi,scandata_filename,recommendation,notes
11,scholiainaristot00bran,29,4191.001 Commentarium in analytica posteriora (fragmentum) (ex editione Aldina) | 4191.002 Commentarium in analytica posteriora (excerpta e cod. Paris. 1917) | 4190.001 Commentarium in analytica priora (excerpta e cod. Paris. gr. 1917) | 4190.002 Commentarium in analytica priora (excerptum e cod. Paris. gr. 1918) | 4190.003 Commentarium in analytica priora (excerpta e cod. Paris. gr. 1919) | 4190.004 Commentarium in analytica priora (excerpta e cod. Paris. gr. 2061) | 4194.003 Commentarium in physica (excerptum e cod. Vat. gr. 1730) | 4194.004 Scholia in physica (excerpta e cod. Vat. gr. 237) | 4194.005 Commentarium in physica (excerpta e cod. Vat. Ottobon. 32) | 4194.006 Scholion in physica (excerptum e cod. Paris. gr. 1853 in margine) | 4194.007 Commentarium in physica (excerpta e cod. Paris. gr. 1947) | 4193.001 Scholion in sophisticos elenchos (excerptum e cod. Paris. 1946 in margine) | 4192.001 Commentarium in topica (excerptum e cod. Paris. 1843) | 4192.002 Commentarium in topica (excerpta e cod. Paris. 1845) | 4192.003 Commentarium in topica (excerpta e cod. Paris. 1874) | 4192.004 Commentarium in topica (excerpta e cod. Paris. 1917) | 4192.005 Commentarium in topica (excerpta e cod. Paris. 1972) | 4190.005 Commentarium in analytica priora (excerpta e codd. Paris. gr. 1873 + 1917; Oxon. Bodl. 155 + Oxon. Nov. Colleg. 230) | 4027.002 In categorias prolegomena (e cod. Vat. Urbin. gr. 35) | 4027.003 Additamenta ad Ammonium in categorias (ex cod. Paris. 2051) (olim sub auctore Joanne Philopono) | 4195.001 Commentarium in librum de caelo (excerptum e cod. Vat. gr. 499) (olim sub auctore Damascio) | 4195.002 Commentarium in librum de caelo (fragmentum e codd. Marc. gr. 257 + 263) (olim sub auctore Joanne Philopono) | 4195.003 Commentarium in librum de caelo (excerpta e cod. Paris. gr. 1853) | 4195.004 Commentarium in librum de caelo (excerpta e cod. Paris. Coislin. 166) | 4165.002 Commentarium in librum de interpretatione (= Anonymus Coislinianus) (fragmenta e cod. Coislin. 160) | 4196.001 Commentarium in metaphysica (excerpta e cod. Paris. gr. 1853) | 4196.003 Scholion in metaphysica (excerptum e cod. Coislin. 161 in margine) | 4194.001 Commentarium in physica (excerptum e cod. Vat. gr. 1025) | 4194.002 Commentarium in physica (excerpta e cod. Vat. gr. 1028),Scholia in Aristotelem,"Brandis, Christian August, 1790-1867",,,,True,scholiainaristot00bran_jp2.zip,848348887,a685da6bca7d3d609d7322c0bc062335d11df0f5,300,scholiainaristot00bran_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
12,apollinarisvonl00apolgoog,28,2074.001 Fides secundum partem | 2074.002 De unione corporis et divinitatis in Christo | 2074.003 De fide et incarnatione contra adversarios | 2074.004 De unione (fragmentum) | 2074.005 De incarnatione (fragmenta) | 2074.006 Laudatio Mariae et de incarnatione | 2074.007 Demonstratio de divina incarnatione ad similitudinem hominis (fragmenta) | 2074.008 In dei in carne manifestationem (fragmenta) | 2074.009 Ad illos qui hominem a verbo assumptum f uisse dicebant (fragmentum) | 2074.010 Syllogismi (fragmenta) | 2074.011 Contra Diodorum ad Heraclium (fragmenta) | 2074.012 Ad Diodorum (fragmenta) | 2074.013 Recapitulatio (fort. epitome) | 2074.014 Ad Flavianum (fragmenta) | 2074.015 Ad Petrum (fragmentum) | 2074.016 Ad Julianum (fragmenta) | 2074.017 Sermones (fragmenta) | 2074.018 Fragmentum dialogi | 2074.019 Quod deus in carne Christus (fragmentum) | 2074.020 Ad Jovianum | 2074.021 Ad Serapionem (fragmenta) | 2074.022 Ad Terentium (fragmenta) | 2074.023 Ad episcopos Diocaesarienses | 2074.024 Epistula ad Dionysium 1 | 2074.025 Epistula ad Dionysium 2 (fragmentum) | 2074.026 Tomus synodalis | 2074.027 Fragmenta ex operibus incertis | 2074.028 De incarnatione (fragmenta),Apollinaris von Laodicea und seine Schule : Texte und Untersuchungen. 1.,"Lietzmann, Hans, 1875-1942, author",1904,,,True,apollinarisvonl00apolgoog_jp2.zip,71543217,542dd33254faeb3a52d73333097ca737f933e206,600,apollinarisvonl00apolgoog_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
13,diefragmenteder02diel,9,1545.003 Testimonia | 2153.001 Testimonia | 1508.002 Testimonia | 1508.003 Fragmenta | 0713.001 Testimonia | 0713.002 Fragmenta | 0714.001 Testimonia | 0714.002 Fragmenta | 2230.001 Testimonium,"Die Fragmente der Vorsokratiker, griechisch und deutsch","Diels, Hermann, 1848-1922",,,,True,diefragmenteder02diel_jp2.zip,224926305,2614a214b38be74587e58d1c151117f4b4c58d61,500,diefragmenteder02diel_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
14,b33490983_0002,7,0721.009 De diaeta | 0721.011 Περὶ λυκανθρωπίας | 0721.012 De urinis secundum Syros | 0721.013 De urinis secundum Persos | 0721.014 Commentatio de urinis | 0721.015 De pulsibus | 0721.016 De urinis in febribus,"Physici et medici Graeci minores. Congessit, ad fidem codd. Mss., praesertim eorum, quos beatus Diezius contulerat, veterumque editionum partim emendavit partim nunc prima vice edidit","Ideler, Julius Ludwig, 1809-1842",,"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""ugc nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>",,True,b33490983_0002_jp2.zip,384501241,54c74e3a41c777f8a6f2de1034146bca0a4934e6,360,b33490983_0002_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
15,patrologicursus105migngoog,6,"3393.006 Sermones quatuor, MPG 89: 1361–1397. Cod: 6,604: Homilet., Theol | 2896.008 Anastasii Sinaitae in Hexaemeron anagogicarum contemplationum libros duodecim | 2897.003 Disputatio adversus Judaeos, MPG 89: 1204–1281. Cod: 16,812: Theol. Cf. et SCRIPTA ANONYMA ADVERSUS JUDAEOS (3186) | 3007.001 Epistula ad Eustathium, MPG 89: 1421– 1428. Cod: 1,177: Epist | 3007.002 Pandecta scripturae sacrae, MPG 89: 1428–1849. Cod: 77,277: Theol | 3007.003 Exomologesis, MPG 89: 1849–1856. Cod: 1,303: Theol","Patrologiæ cursus completus [Series Græca] : ... omnium ss. patrum, doctorum, scriptorumque ecclasiasticorum sive Latinorum sive Græcorum ...",Jacques Paul Migne,1865,,,True,patrologicursus105migngoog_jp2.zip,526878918,6b3879991d64975f83090d69746512c9e9c3a972,200,patrologicursus105migngoog_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
16,b33490983_0001,6,0721.003 Περὶ χροιᾶς τοῦ αἵματος τοῦ ἀπὸ φλεβοτομίας ἐκ τῆς ἰατρικῆς τῶν Περσῶν | 0721.004 De generatione et semine | 0721.005 De corporis hominis natura | 0721.006 De natura hominis | 0721.007 Mensium adornatio | 0721.008 De duodecim mensium natura,"Physici et medici Graeci minores. Congessit, ad fidem codd. Mss., praesertim eorum, quos beatus Diezius contulerat, veterumque editionum partim emendavit partim nunc prima vice edidit","Ideler, Julius Ludwig, 1809-1842",,"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""ugc nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>",,True,b33490983_0001_jp2.zip,362911122,d0f09d81500f20f5c152a84f0a55da7b4804d0f5,360,b33490983_0001_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
17,diefragmenteder01krangoog,5,1562.001 Testimonia | 0725.001 Testimonia | 0725.002 Fragmenta | 0617.001 Testimonia | 0617.002 Fragmenta,Die fragmente der Vorsokratiker griechisch und deutsch,"Diels, Hermann, 1848-1922, ed",1903,,,True,diefragmenteder01krangoog_jp2.zip,167684846,4cec4339e6c9a41cf394b3d580657be50c6ff07f,600,diefragmenteder01krangoog_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
18,commentariaina21pt12akaduoft,3,4026.001 In Aristotelis artem rhetoricam commentarium | 4026.002 Fragmentum commentarii in Aristotelis rhetorica | 4026.003 Fragmentum paraphrasis in Aristotelis rhetorica,Commentaria in Aristotelem graeca. Edita consilio et auctoritate Academiae litterarum regiae borussicae,"Akademie der Wissenschaften, Berlin",,,,True,commentariaina21pt12akaduoft_jp2.zip,333594562,91030ed93323a8aa886a3af721c3b42a7f9a615e,400,commentariaina21pt12akaduoft_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
19,secundussilentph00unse,2,1521.001 Vita Secundi | 1521.002 Sententiae,"Secundus, the silent philosopher; the Greek Life of Secundus, critically edited and restored so far as possible, together with translations of the Greek and Oriental versions, the Latin and Oriental texts, and a study of the tradition, by Ben Edwin Perry",,,,,True,secundussilentph00unse_jp2.zip,195696937,0707000163bb8eba289195d15c3fd9143ac2a887,300,secundussilentph00unse_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
20,rhetoresgraeciem02walzuoft,2,5045.003 Commentarium in progymnasmata | 5045.004 Commentarium in progymnasmata,"Rhetores graeci ... Emendatiores et auctiores edidit, suis aliorumque annotationibus instruxit indices locupletissimos","Walz, Christian, 1802-1857",,,,True,rhetoresgraeciem02walzuoft_jp2.zip,304987625,b0113ba6123faa5ba98e30e56c900106ce8f8c30,500,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
