tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
0976,001,MEGES Med.,Fragmentum,"Fragmentum, ed. H. Thesleff, The Pythagorean texts of the Hellenistic period, Åbo: Åbo Akademi, 1965: 115. Q: 66: Phil. MELAMPUS Gramm. Incertum Cf. COMMENTARIA IN DIONYSII THRACIS ARTEM GRAMMATICAM (4175 002, 004).",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/bub_gb_F5HI865ExzoC,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
0981,001,STESICHORUS II Lyr.,Titulus,"Titulus, ed. D. L. Page, Poetae melici Graeci, Oxford: Clarendon Press, 1962 (repr. 1967 (1st edn. corr.)): 443. NQ: 1: Lyr.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/dialoguscuititul0000ther,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
0995,001,[NECHEPSO et PETOSIRIS] Astrol.,Fragmenta,"Fragmenta, ed. E. Riess, ""Nechepsonis et Petosiridis fragmenta magica,"" Philologus suppl. 6 (1891–1893) 332–387. Cod Dup. partim 0995 006.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/aegyptiacaseuve00strogoog,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
0995,002,[NECHEPSO et PETOSIRIS] Astrol.,"Testimonium, FGrH #663: 3C:214. NQ: 25: Test","Testimonium, FGrH #663: 3C:214. NQ: 25: Test.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/testimoniuminter0000loch,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
0995,004,[NECHEPSO et PETOSIRIS] Astrol.,"Epistula Petosiridi supposita (e cod. Berol. 170, fol. 10)","Epistula Petosiridi supposita (e cod. Berol. 170, fol. 10), ed. F. Boll, Codices Germanici [Catalogus Codicum Astrologorum Graecorum 7. Brussels: Lamertin, 1908]: 161–162. NEILAMMON Cod: 165: Astrol.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
0995,006,[NECHEPSO et PETOSIRIS] Astrol.,"Ἐπιστολὴ Πετοσίρεως φιλοσόφου πρός Νεκεψὼ βασιλέα (e cod. Mutin. 174, fol. 262)","Ἐπιστολὴ Πετοσίρεως φιλοσόφου πρός Νεκεψὼ βασιλέα (e cod. Mutin. 174, fol. 262), ed. A. Olivieri, Codices Italici, CCAG 4 (1903): 120–121. Cod: 655: Astrol. Dup. partim 0995 001.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1002,001,TIMOSTHENES Geogr.,"Fragmenta (e vita G Aesopi, recensio 3)","Fragmenta (e vita G Aesopi, recensio 3), ed. E. A. Wagner, Die Erdbeschreibung des Timosthenes von Rhodus [Diss Leipzig (1888)]: 64–73. Q: Geogr., Myth.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1002,002,TIMOSTHENES Geogr.,"Fragmentum, FGrH #354: 3B:217. Q: Hist., Myth. Dup. partim 1002 001","Fragmentum, FGrH #354: 3B:217. Q: Hist., Myth. Dup. partim 1002 001.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/bub_gb_F5HI865ExzoC,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
1004,001,THESSALUS Astrol. et Med.,De virtutibus herbarum (e cod. Paris. gr. 2502 + Vindob. med. gr. 23),"De virtutibus herbarum (e cod. Paris. gr. 2502 + Vindob. med. gr. 23), ed. H.-V. Friedrich, Thessalos von Tralles [Beiträge zur klassischen Philologie 28. Meisenheim am Glan: Hain, 1968]: 43–44, 56, 59, 62, 65, 137, 142, 147, 175, 179, 183, 187, 219, 223, 227, 231, 235, 239, 243, 247, 251, 255, 259, 263, 267. Cod: 2,587: Astrol., Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1004,002,THESSALUS Astrol. et Med.,De virtutibus herbarum (e cod. Matrit. Bibl. Nat. 4631 [olim 110]),"De virtutibus herbarum (e cod. Matrit. Bibl. Nat. 4631 [olim 110]), ed. Friedrich, op. cit., 45, 47, 49, 51, 53, 55, 58, 61, 64, 68, 73, 78, 83, 88, 93, 98, 103. Cod: 1,797: Epist. Epistula ad Caesarem Augustum (fort. Claudium vel Neronem): pp. 45–64.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1004,003,THESSALUS Astrol. et Med.,De virtutibus herbarum (e cod. Monac. 542),"De virtutibus herbarum (e cod. Monac. 542), ed. Friedrich, op. cit., 69, 74, 79, 84, 89, 94, 99, 104, 108, 112, 116, 120, 124, 128, 132, 136, 141, 146, 151, 155, 159, 163, 167, 171. Cod: 2,180: Astrol., Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1004,004,THESSALUS Astrol. et Med.,De virtutibus herbarum (e codd. Paris. gr. 2502 + Vindob. med. gr. 23 + Londin. reg. 16 C II),"De virtutibus herbarum (e codd. Paris. gr. 2502 + Vindob. med. gr. 23 + Londin. reg. 16 C II), ed. Friedrich, op. cit., 195, 199, 203, 207, 211, 215. Cod: 483: Astrol., Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1004,005,THESSALUS Astrol. et Med.,De virtutibus herbarum (e codd. Paris. gr. 2256 + Venet. App. cl. V 13 + Mosq. 415),"De virtutibus herbarum (e codd. Paris. gr. 2256 + Venet. App. cl. V 13 + Mosq. 415), ed. Friedrich, op. cit., 195, 196, 268. Cod: 418: Astrol., Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1009,001,XENOCRATES Med.,De lapitibus,"De lapitibus, ed. M. Wellmann, ""Die Steinund Gemmnbücher der Antike"" Quellen und Studien zur Geschichte der Naturwissenschaften und Medizin 4.4 (1935) 86–149 (passim). Q: Med.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
1013,001,PACCIUS ANTIOCHUS Med.,Epistulae,"Epistulae, ed. H. Quecke, Die Briefe Pachoms [Textus Patristici et Liturgici 11. Regensburg: Friedrich Pustet, 1975]: 99–110. Cod: Epist.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact open text found locally.,,,Catalog candidate only; edition/quality unverified.,https://archive.org/details/epistulaeselect00fumagoog,Unverified.,low,SCAN_CANDIDATE,compare catalog item against canonical edition,Individual IA title query; no OCR used.,2026-08-11
1016,001,OSTANES Magus Alchem.,"Ὀστάνου φιλοσόφου πρὸς Πετάσιον περὶ τῆς ἱερᾶς ταύτης καὶ θείας τέχνης (e cod. Venet. Marc. 299, fol. 66r)","Ὀστάνου φιλοσόφου πρὸς Πετάσιον περὶ τῆς ἱερᾶς ταύτης καὶ θείας τέχνης (e cod. Venet. Marc. 299, fol. 66r), ed. M. Berthelot and C. É. Ruelle, Collection des anciens alchimistes grecs, vol. 2, Paris: Steinheil, 1888: 261–262. Cod: 282: Alchem., Epist.",base-3 local exact TLG-id lookup; targeted IA catalog query for negative result,No exact TLG work path found locally; targeted IA query returned no candidate.,,,,,,high,EDITION_IDENTIFIED,search other item-level catalogs,No external source claimed; no OCR used.,2026-08-11
