tlg_author_id,tlg_work_id,author_heading,work_title,canonical_edition,sources_tested,open_text_result,open_text_url,open_text_license,scan_result,scan_url,scan_rights,confidence,proposed_status,next_action,notes,last_checked
2062,465,JOANNES CHRYSOSTOMUS Scr. Eccl.,Oratio in patres Nicaenos (excerptum),"Oratio in patres Nicaenos (excerptum), ed. V. Grecu, ""Izvorul principal bizantin... Omiliile patriarhului Ioan xiv Caleca,"" Studii si cercetari 35 (1939) 138–140. Cod: Encom., Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,472,JOANNES CHRYSOSTOMUS Scr. Eccl.,In sanctam theophaniam [Sp.],"In sanctam theophaniam [Sp.], ed. Uthemann, Regtuit, and Tevel, op. cit., 217– 220. Cod: 947: Homilet",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,473,JOANNES CHRYSOSTOMUS Scr. Eccl.,In nativitatem Christi (fragmenta duo) [Sp.],"In nativitatem Christi (fragmenta duo) [Sp.], ed. M. Jugie, ""La mort et l'assomption de la sainte Vierge dans la tradition des cinq premiers siècles,"" Échos d'Orient 25 (1926) 134, adn. 1.2. Cod: 72: Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,475,JOANNES CHRYSOSTOMUS Scr. Eccl.,In illud: Si enim dimiseritis hominibus peccata eorum [Sp.],"In illud: Si enim dimiseritis hominibus peccata eorum [Sp.], ed. Uthemann, Regtuit, and Tevel, op. cit., 226–230. JOANNES CHRYSOSTOMUS Cod: 1,510: Homilet",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,480,JOANNES CHRYSOSTOMUS Scr. Eccl.,Quod deus superbis resistat [Sp.],"Quod deus superbis resistat [Sp.], ed. Uthemann, Regtuit, and Tevel, op. cit., 239– 243. Cod: 1,457",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,483,JOANNES CHRYSOSTOMUS Scr. Eccl.,Oratio de nativitate [Sp.],"Oratio de nativitate [Sp.], ed. Uthemann, Regtuit, and Tevel, op. cit., 250–252. Cod: 542: Homilet",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,484,JOANNES CHRYSOSTOMUS Scr. Eccl.,In sanctum Paulum apostolum (excerptum),"In sanctum Paulum apostolum (excerptum), ed. L. Petit, X. A. Siderides, and M. Jugie, Oeuvres complètes de Gennade Scholarios, vol. 3, Paris, 1930: 427–430. Cod: 1,159: Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,485,JOANNES CHRYSOSTOMUS Scr. Eccl.,De nativitate [Sp.],"De nativitate [Sp.], ed. Uthemann, Regtuit, and Tevel, op. cit., 253–256. Cod: 910: Homilet",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,486,JOANNES CHRYSOSTOMUS Scr. Eccl.,De laudibus sancti Pauli apostoli (homiliae 1–7),"De laudibus sancti Pauli apostoli (homiliae 1–7), ed. A. Piedagnel, Jean Chrysostome. Panégyriques de S. Paul [Sources chrétiennes 300. Paris: Éditions du Cerf, 1982]: 112–320. Cod: 15,889: Encom., Hagiogr., Homilet. Textus = MPG 50, 473–514.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,488,JOANNES CHRYSOSTOMUS Scr. Eccl.,De sancta Thecla martyre (e cod. Athon. Panteleimon 58) [Sp.],"De sancta Thecla martyre (e cod. Athon. Panteleimon 58) [Sp.], ed. M. Aubineau, ""Le panégyrique de Thècle attribué à Jean Chrysostome: la fin retrouvée d'un texte mutilé,"" Analecta Bollandiana 93 (1975) 351–352. Cod: 181: Encom., Homilet. Cf. et 2062 129.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,489,JOANNES CHRYSOSTOMUS Scr. Eccl.,De nativitate Joannis Baptistae [Sp.],"De nativitate Joannis Baptistae [Sp.], ed. C. Datema, ""An unedited homily of Ps. Chrysostom on the birth of John the Baptist,"" Byzantion 52 (1982) 76–80. Cod: 1,187: Hagiogr., Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,491,JOANNES CHRYSOSTOMUS Scr. Eccl.,In sanctum pascha [Sp.],"In sanctum pascha [Sp.], ed. C. Datema and P. Allen, ""Text and tradition of two Easter homilies of Ps. Chrysostom,"" Jahrbuch der Österreichischen Byzantinistik 30 (1981) 98–102. Cod: 1,050: Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
2062,492,JOANNES CHRYSOSTOMUS Scr. Eccl.,In resurrectionem domini [Sp.],"In resurrectionem domini [Sp.], ed. C. Datema and P. Allen, ""Leontius, presbyter of Constantinople – a compiler?,"" Jahrbuch der Österreichischen Byzantinistik 29 (1980) 12–18. Cod: 1,422: Homilet.",base-3; exact-URN local lookup,No exact reusable Greek TEI or rights-cleared scan verified.,,,No rights-cleared exact scan verified.,,,medium,EDITION_IDENTIFIED,locate lawful edition or individual witnesses,No third-party OCR or images used.,2026-08-11
