priority,scan_identifier,works_covered,tlg_notices,title,creator,year,rights,license_url,jp2_archive_present,jp2_filename,jp2_bytes,jp2_sha1,ppi,scandata_filename,recommendation,notes
31,fragmentahistori01mueluoft,1,"1583.003 Fragmenta, FHG 1: 366–370. Q: 1,027: Hist. frr. 1–26","Fragmenta historicorum graecorum ... auxerunt, notis et prolegomenis illustrarunt, indici plenissimo instruxerunt Car. et Theod. Mulleri. Accedunt marmora parium et rosettanum, hoc cum Letronnii, illud cum C. Mulleri commentariis","['Mueller, Karl, Historian', 'Mueller, Theodor', 'Langlois, Victor, 1829-1869']",,,,True,fragmentahistori01mueluoft_jp2.zip,697500425,50a9d580fcf99bcb748938b81220b42fda0f0c9f,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
32,carminaexcodicib01philuoft,1,2718.001 Carmina,"Carmina; ex codicibus Escurialensibus, Florentinis, Parisinis et Vaticanis","['Philes, Manuel, ca. 1275-ca. 1345', 'Miller, E. (Emmanuel), 1810-1886']",,,,True,carminaexcodicib01philuoft_jp2.zip,123364647,0c4a3a0890c99fc90adc0dd2fd08b862282d787e,400,carminaexcodicib01philuoft_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
33,fragmentahistor00antgoog,1,"1969.003 Fragmenta, FHG 3: 17–19. Q: 831: Hist. frr. 1–4. Dup. 1969 002",Fragmenta historicorum graecorum,"Karl Otfried Müller ,  Karl Müller ,  Philologue,  Theodor Müller,  Letronne (Antoine-Jean)",1849,,,False,,,,,fragmentahistor00antgoog_scandata.xml,REJECT,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
34,4737915,1,1530.004 Περὶ Ὀδυσσειακῆς στιγμῆς,Nicanoris [peri Odysseiakes stigmes] reliquiae emendatiores,"['Nicanor, 1st cent. B.C', 'Carnuth, Otto, 1843-1899, ed']",,,,True,4737915_jp2.zip,29970219,8acbb8e078500dad1aeede661e75bf8a83684989,300,4737915_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
35,tragicorumgraeco00naucuoft,1,1511.001 Fragmenta,Tragicorum graecorum fragmenta,"Nauck, August, 1822-1892",,,,True,tragicorumgraeco00naucuoft_jp2.zip,445416324,126ffac653e9005def564ae625b1b5d1ae018a9b,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
36,fabulaeromanense01eberuoft,1,3118.003 De Suntipa narrationes,"Fabulae Romanenses graece conscriptae, ex recensione et cum adnotationibus","['Eberhard, Alfred, 1841-1914', 'Sindbad, the philosopher', 'Aphthonius, 4th cent', 'Planudes, Maximus, ca. 1260-ca. 1310']",,,,True,fabulaeromanense01eberuoft_jp2.zip,142041478,36f72bf6b7314f741bcdb8c52fb559f08371fc6f,500,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
37,anonymerkommenta00diel,1,1128.001 Commentarius in Platonis Theaetetum (fort. auctore Eudoro Alexandrino) (P. Berol. inv. 9782),Anonymer kommentar zu Platons Theaetet (papyrus 9782) nebst drei bruchstu?cken philosophischen inha,"Diels, Hermann, 1848-1922",,,,True,anonymerkommenta00diel_jp2.zip,50164146,2a6d863bdfe533c3c50ad11787b6c312096f9852,350,anonymerkommenta00diel_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
38,anonymichristian00herm,1,4374.001 De astrologia dialogus (= Hermippus) (fort. auctore Joanne Catrario),Anonymi Christiani Hermippus De astrologia dialogus,Hermippus,,,,True,anonymichristian00herm_jp2.zip,51462003,d4abd1db21acd10b32f9924f3e7d5e12fd34481c,300,anonymichristian00herm_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
39,india.history.resource.71425,1,4209.001 De ambitu ponti Euxini,"Geographi Graeci Minores, e Codicibus recognovit, prolegomenis annotatione indicibus instruxit, tabulis aeri incisi illustravit, Vol. I","Mullerus, Carolus",,,,True,71425_jp2.zip,637036661,995e81f9cad6d4a48cbf4dc708429fb585b772cc,300,71425_scandata.xml,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
40,rhetoresgraeciem01walzuoft,1,5024.001 Introductio in prolegomena Hermogenis artis rhetoricae (fort. auctore Marcellino),"Rhetores graeci ... Emendatiores et auctiores edidit, suis aliorumque annotationibus instruxit indices locupletissimos","Walz, Christian, 1802-1857",,,,True,rhetoresgraeciem01walzuoft_jp2.zip,179267090,f5ccf2288d83cfc83aada5ed01b7da3a1b14edec,400,,REVIEW,Journal mapping; IA metadata checked. Edition concordance and visual quality pending; no image/OCR downloaded.
