tlg_id,result,source,notes
2358.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2359.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2359.001,EDITION_IDENTIFIED,FGrH,duplicate canon notice; no OCR
2359.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2359.003,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2360.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2361.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2362.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2363.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2364.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2364.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2364.003,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2365.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2367.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2367.002,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2368.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2369.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2370.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2371.001,EDITION_IDENTIFIED,canonical bibliography,locate lawful source; no OCR
2372.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2372.002,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2372.003,SCAN_CANDIDATE,https://archive.org/search?query=title%3A%22Fragmenta+historicorum+graecorum%22,historical FHG alternative; inspect; no OCR
2373.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2374.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
2375.001,EDITION_IDENTIFIED,FGrH,locate lawful FGrH access; no OCR
